Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2	Distance_to_Origin	Distance_to_CTCF	Distance_to_DNaseIHSS1	Distance_to_DNaseIHSS2	Distance_to_H3K4me3	Distance_to_H3K27me3	Distance_to_H3K36me3
851	211.476	0.248503	90.1601	0.105946	45.9108	0.0539492	211.476	90.1601	1.61234	0.00189465	0	0	9688728	9500027	2528314	2436017	60183	49357	154
479	82.7514	0.172759	0	0	0	0	82.7514	0	20.6832	0.04318	24.8495	0.0518779	42799	377318	17878	56461	7424	15360	0
321	0	0	0	0	0	0	0	0	1.28403	0.00400011	4.55734	0.0141973	5974928	22414409	196581	5628448	61871	76424	5921
757	83.6743	0.110534	0	0	131.148	0.173247	83.6743	0	75.5174	0.0997588	182.534	0.241127	118732	237352	35473	357	0	3311	11905
358	0	0	0	0	0	0	0	0	2.83071	0.00790702	16.6943	0.046632	877560	1902556	606866	607093	20759	338804	103234
743	137.608	0.185206	134.448	0.180953	0	0	137.608	134.448	12.4464	0.0167516	25.5691	0.0344133	997267	469266	947394	424219	121492	1816	4217
682	176.017	0.258089	98.9628	0.145107	0	0	176.017	98.9628	6.15754	0.00902866	10.362	0.0151935	980942	1366988	975884	183037	40735	24252	7158
917	368.634	0.402	184.521	0.201223	209.875	0.228871	368.634	184.521	45.7147	0.0498524	19.6685	0.0214488	1509657	223311	57559	58052	45137	5158	0
1671	849.798	0.508557	2597.06	1.5542	443.463	0.265388	849.798	2597.06	22.0475	0.0131942	29.9825	0.0179429	116329	14952	7811	7961	8010	4400	9716
1170	64.5669	0.0551854	102.978	0.0880158	63.9993	0.0547002	64.5669	102.978	3.29034	0.00281226	16.7902	0.0143506	262461	20811	212549	59605	4038	4183	8848
