Variable	Coefficient
Size	-0.00034
Sum_H3K36me3	-0.00087
Mean_H3K36me3	0.16237
Sum_H3K27me3	0.02262
Mean_H3K27me3	9.4017
Sum_H3K4me3	-3e-05
Mean_H3K4me3	0
Sum_CTCF	0.00089
Mean_CTCF	-0.07662
Sum_DNaseIHSS1	0
Mean_DNaseIHSS1	-53.5127
Sum_DNaseIHSS2	0.01437
Mean_DNaseIHSS2	-5.75073
