DSBType	Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2
1	419	0	0	103.044	0.245929	0	0	0	0	5.85842	0.0139819	20.9158	0.0499184
1	888	201.362	0.226759	97.071	0.109314	69.9934	0.0788215	91.5	0.103041	3.05688	0.00344243	6.71608	0.00756315
1	339	0	0	0	0	0	0	412	1.21534	2.8526	0.00841476	0	0
1	712	229.971	0.322993	0	0	154.912	0.217573	241	0.338483	5.66873	0.0079617	14.6794	0.0206172
1	559	39.0429	0.0698442	133.133	0.238162	97.6046	0.174606	183.6	0.328444	3.82292	0.00683886	0.575664	0.00102981
1	866	4.401	0.00508199	350.679	0.404942	41.2541	0.0476375	154.7	0.178637	0	0	0	0
1	647	121.369	0.187587	397.327	0.614106	0	0	0.5	0.000772798	12.14	0.0187635	25.4252	0.039297
1	572	32.1811	0.0562607	118.892	0.207854	110.951	0.19397	42.7	0.0746504	10.7538	0.0188004	29.3109	0.0512428
1	433	2.73336	0.00631261	47.4652	0.109619	0	0	82.3	0.190069	12.8112	0.029587	6.71608	0.0155106
1	732	180.043	0.245961	413.111	0.564359	72.7125	0.099334	0	0	13.9931	0.0191162	14.5355	0.0198573
1	479	416.063	0.868609	644.061	1.3446	0	0	585.6	1.22255	19.0709	0.0398139	148.713	0.310466
1	610	53.6324	0.087922	221.738	0.363505	0	0	28.3	0.0463934	4.81514	0.00789368	10.0741	0.016515
1	844	58.2813	0.0690536	0	0	0	0	70.1	0.0830569	1.88228	0.00223019	15.3511	0.0181885
1	671	0	0	118.892	0.177187	110.951	0.165352	0	0	12.9717	0.0193319	29.7426	0.0443259
1	488	211.476	0.433352	118.892	0.243632	0	0	0	0	3.06418	0.00627905	0	0
1	785	105.738	0.134698	0	0	0	0	91	0.172023	5.7271	0.00729567	26.8643	0.0342221
1	970	119.53	0.123227	126.819	0.130741	56.6233	0.0583746	187.9	0.193711	8.79857	0.00907069	14.3916	0.0148367
1	671	754.88	1.12501	0	0	150.74	0.22465	253	0.377049	32.0134	0.04771	47.5403	0.0708499
1	968	0	0	96.1047	0.0992817	0	0	0	0	0.379375	0.000391916	3.45398	0.00356817
1	292	0	0	194.46	0.665959	43.0165	0.147317	0	0	1.69259	0.00579655	0	0
1	394	0	0	228.155	0.579074	0	0	21.3	0.0540609	4.58897	0.0116471	1.00741	0.00255688
1	754	317.215	0.420709	237.808	0.315396	0	0	195.5	0.259284	9.00284	0.0119401	59.4853	0.0788929
1	713	516.554	0.72448	46.514	0.0652371	0	0	12.1	0.0183333	17.9109	0.0251204	15.8787	0.0222703
1	512	0	0	141.295	0.275967	0	0	0	0	0.124026	0.000242239	3.5979	0.00702715
1	708	285.029	0.402583	0	0	0	0	232.8	0.328814	11.1186	0.0157042	0	0
1	700	211.476	0.302109	98.0862	0.140123	75.7528	0.108218	0	0	4.07098	0.00581568	0	0
1	440	105.738	0.240313	0	0	0	0	192.3	0.437045	8.47027	0.0192506	7.67552	0.0174444
1	761	0	0	0	0	0	0	276.6	0.363469	3.91777	0.00514818	29.7906	0.0391467
1	449	0	0	118.892	0.264794	9.94734	0.0221544	26	0.0579065	3.40708	0.00758814	0	0
1	791	304.342	0.384756	73.7619	0.0932514	72.724	0.0919393	707.2	0.894058	9.77619	0.0123593	7.67552	0.00970357
1	1059	78.7016	0.0743169	99.5398	0.0939941	68.3063	0.0645008	152	0.143532	5.42067	0.00511867	45.0937	0.0425814
1	456	0	0	184.286	0.404135	94.1171	0.206397	0	0	3.90318	0.0085596	7.67552	0.0168323
1	650	319.973	0.492266	291.969	0.449183	110.951	0.170694	528.2	0.812615	9.68864	0.0149056	19.3807	0.0298165
1	481	105.738	0.219829	118.892	0.247178	0	0	0	0	3.34141	0.00694681	6.71608	0.0139627
1	707	151.836	0.214762	133.754	0.189185	0	0	324.7	0.459264	3.77915	0.00534533	7.72349	0.0109243
1	549	0	0	62.2353	0.113361	22.2936	0.0406077	8.1	0.0147541	4.12205	0.00750828	0	0
1	691	0	0	7.92616	0.0114706	255.218	0.369346	382.9	0.554124	4.27526	0.00618707	6.04447	0.00874743
1	330	0	0	110.971	0.336276	167.56	0.507758	0	0	4.94646	0.0149893	5.27692	0.0159907
1	966	0	0	200.136	0.20718	0	0	270.6	0.280124	9.5719	0.0099088	0	0
1	803	105.738	0.131679	118.892	0.14806	0	0	261	0.384956	4.3774	0.00545131	0	0
1	316	105.738	0.334614	118.892	0.376242	6.92685	0.0219204	0	0	4.61815	0.0146144	0	0
1	456	0	0	106.012	0.232483	6.88662	0.0151022	83	0.182018	4.30445	0.00943957	0	0
1	396	0	0	0	0	0	0	0	0	0	0	0	0
1	755	1047.16	1.38697	446.225	0.591026	161.446	0.213835	261.4	0.346225	125.194	0.165819	86.3496	0.11437
1	498	0	0	120.874	0.242719	0	0	985.9	1.97972	2.1887	0.00439497	15.3511	0.0308254
1	704	681.316	0.967778	135.69	0.192741	76.0612	0.108042	558.1	0.792756	1.54668	0.00219699	6.71608	0.00953989
1	831	244.825	0.294615	368.28	0.443177	26.7838	0.0322308	0	0	14.781	0.017787	37.2263	0.044797
