1	753	753	105.738	0.140422	0.140422
2	611	611	0	0	0
3	1179	1179	0	0	0
4	807	807	0	0	0
5	830	830	0	0	0
6	5893	5893	960.883	0.163055	0.163055
7	2974	2974	528.69	0.177771	0.177771
8	3827	3827	1346.95	0.35196	0.35196
9	6005	6005	0	0	0
10	845	845	0	0	0
11	1073	1073	0	0	0
12	931	931	99.9566	0.107365	0.107365
13	2346	2346	16915.7	7.21045	7.21045
14	762	762	9050.72	11.8776	11.8776
15	1008	1008	155.389	0.154156	0.154156
16	675	675	932.814	1.38195	1.38195
17	604	604	95.6743	0.158401	0.158401
18	2501	2501	23755.3	9.49833	9.49833
19	983	983	4655.74	4.73626	4.73626
20	802	802	31.6866	0.0395094	0.0395094
21	855	855	78.9368	0.0923238	0.0923238
22	2892	2892	12501.4	4.32275	4.32275
23	903	903	5656.05	6.26362	6.26362
24	797	797	1506.96	1.8908	1.8908
25	1160	1160	76.5936	0.066029	0.066029
26	1956	1956	6926.59	3.5412	3.5412
27	575	575	5804.32	10.0945	10.0945
28	1084	1084	3045.66	2.80965	2.80965
29	1375	1375	1196.31	0.870045	0.870045
30	1563	1563	3227.78	2.06512	2.06512
31	797	797	1449.19	1.81831	1.81831
32	1423	1423	3581.03	2.51653	2.51653
33	941	941	3463.85	3.68103	3.68103
34	986	986	4189.34	4.24882	4.24882
35	1068	1068	2390.02	2.23785	2.23785
36	744	744	198.997	0.26747	0.26747
37	1743	1743	192.167	0.110251	0.110251
38	539	539	28.6981	0.0532433	0.0532433
39	730	730	322.2	0.44137	0.44137
40	2945	2945	15022.4	5.10098	5.10098
41	1150	1150	6224.4	5.41253	5.41253
42	1276	1276	144.845	0.113515	0.113515
43	459	459	84.1139	0.183255	0.183255
44	569	569	0	0	0
45	2863	2863	13602.9	4.75128	4.75128
46	2616	2616	8803.71	3.36533	3.36533
47	2471	2471	15348.3	6.21139	6.21139
48	1069	1069	105.738	0.0989129	0.0989129
49	1515	1515	264.964	0.174894	0.174894
50	3696	3696	25836.8	6.99048	6.99048
51	445	445	314.023	0.70567	0.70567
52	1367	1367	3386.17	2.47708	2.47708
53	1280	1280	705.292	0.551009	0.551009
54	1274	1274	2890.77	2.26905	2.26905
55	1926	1926	9016.19	4.6813	4.6813
56	2100	2100	10543.7	5.02079	5.02079
57	1971	1971	246.699	0.125164	0.125164
58	830	830	567.941	0.684266	0.684266
59	762	762	149.424	0.196094	0.196094
