DSBType	Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2	DistanceToOrigin	DistanceToCTCF	DistanceToDNaseIHSS1	DistanceToDNaseIHSS2	DistanceToH3K4me3	DistanceToH3K27me3	DistanceToH3K36me3
1	445	314.023	0.70567	0	0	9.60746	0.0215898	0	0	9.7397	0.021887	21.7793	0.0489422	0	526	5303	624	434	322613	30
1	1367	3386.17	2.47708	530.527	0.388096	10.8283	0.00792123	261.1	0.191002	67.463	0.0493512	47.1085	0.0344612	0	12823	23682	23669	22192	785578	130
1	1280	705.292	0.551009	188.032	0.1469	273.862	0.213954	76.6	0.0598438	25.0606	0.0195786	4.55734	0.00356042	21729	955	28296	28276	27769	82313	37975
1	1274	2890.77	2.26905	80.6835	0.0633308	40.6368	0.031897	635.4	0.509543	30.7148	0.0241089	65.9136	0.0517375	0	4394	17558	17558	13888	311602	422
1	1926	9016.19	4.6813	585.874	0.304192	330.556	0.171628	2147	1.11475	261.477	0.135762	194.095	0.100776	13259	0	60701	1025	800	79153	0
1	2100	10543.7	5.02079	877.807	0.418003	521.192	0.248187	1829.3	0.88159	58.7155	0.0279598	88.0766	0.0419412	2169	1034	5913	5933	5102	26158	0
1	1971	246.699	0.125164	118.892	0.0603209	19.1563	0.00971909	856.7	0.572278	38.0542	0.0193071	70.8067	0.0359242	0	0	3353	876	3080	182653	5234
1	830	567.941	0.684266	112.223	0.135208	39599	47.7096	2231.6	2.68867	1433.6	1.72723	738.769	0.890083	0	0	116	116	0	188241	787
1	2242	11887.7	5.30226	826.643	0.368708	483.457	0.215637	1679.5	0.749108	310.635	0.138553	170.301	0.0759593	25033	0	32797	0	32275	786366	0
1	562	0	0	0	0	0	0	0	0	1.16731	0.00207706	0	0	6581	2045	56909	15243	56481	85928	130675
1	1285	0	0	91.0539	0.0708591	29.5546	0.0229997	223.2	0.301215	4.99753	0.00388913	0	0	0	3558	10591	10591	10122	28317	1047736
1	1036	0	0	84.2154	0.081289	0	0	51.3	0.0495174	1.16731	0.00112674	15.8308	0.0152807	0	1213	303065	33751	384337	155004	490876
1	515	176.536	0.342789	9.9077	0.0192383	76.518	0.148579	135.3	0.262718	9.94399	0.0193087	7.67552	0.0149039	4805	4495	277989	8675	359261	129928	465800
1	837	5654.12	6.75522	291.076	0.347761	286.493	0.342286	397.9	0.475388	39.2215	0.0468596	14.3916	0.0171943	25427	1031	12057	12057	10631	279549	0
1	1343	6495.01	4.83619	674.535	0.50226	388.53	0.2893	206.8	0.153984	62.9106	0.0468433	71.958	0.0535801	7378	228	28831	27250	25943	164915	0
1	653	134.193	0.205502	322.463	0.493818	5.31024	0.00813207	133.1	0.203828	8.79128	0.0134629	35.6912	0.0546572	1775	830	298644	59071	831891	203568	873172
1	545	312.617	0.573609	6.93539	0.0127255	0	0	0	0	4.61815	0.00847367	2.59049	0.00475319	20414	2938	38738	38767	70154	346703	76131
1	658	62.9281	0.0956354	168.358	0.255863	96.9576	0.147352	368.6	0.560182	12.6945	0.0192925	45.5734	0.0692605	0	1787	56772	14214	45759	15911	234078
1	978	266.471	0.272465	755.669	0.772668	336.599	0.344171	1321.7	1.7506	18.2975	0.0187091	22.9306	0.0234464	37282	7131	24258	22139	21499	90578	20502
1	610	105.738	0.173341	32.6954	0.053599	15.3036	0.0250879	58.4	0.0957377	6.63905	0.0108837	15.3511	0.0251657	0	664	358701	4851	825236	1054743	770239
1	741	243.409	0.328487	383.246	0.517201	144.229	0.194641	152.3	0.205533	7.66045	0.010338	48.02	0.0648043	5182	12996	117116	50560	287756	769977	232759
1	698	164.583	0.235793	114.242	0.163671	49.6415	0.0711197	1125.4	1.61232	2.72858	0.00390914	14.3916	0.0206183	5939	0	55937	55937	141894	420297	655914
1	1092	274.551	0.25142	229.863	0.210498	0	0	93.7	0.0858059	13.9785	0.0128008	37.2263	0.03409	25802	653	1139	359	427	3860	50305
1	833	105.738	0.126936	475.107	0.570356	110.951	0.133195	410.1	0.492317	4.33362	0.00520243	13.4322	0.016125	71993	1555	212485	5434	183836	281703	300614
1	1417	211.476	0.149242	162.402	0.11461	247.95	0.174982	86.7	0.0611856	8.49215	0.00599305	0	0	3962	7437	57189	6086	263934	620192	652365
1	525	41.8095	0.0796371	35.1329	0.0669199	71.0551	0.135343	0	0	5.45715	0.0103946	7.67552	0.01462	25278	1203	9910	3097	2677	157741	47993
1	882	200.017	0.226777	0	0	0	0	637.3	1.30327	4.23149	0.0047976	6.71608	0.0076146	20708	21315	34369	20598	34181	35117	156620
1	637	198.146	0.311061	388.3	0.609576	76.037	0.119367	298	0.467818	4.12934	0.00648249	18.7571	0.0294459	18921	1523	39640	33680	38815	4529	100022
1	567	422.954	0.74595	97.0955	0.171244	0	0	247	0.435626	2.6848	0.0047351	6.71608	0.0118449	33245	11074	17988	13488	17412	162640	49369
1	484	190.715	0.394039	125.806	0.259929	130.504	0.269636	0	0	2.48052	0.00512505	5.27692	0.0109027	27166	2400	72039	48431	170556	2206858	66865
1	736	57.8019	0.0785352	156.48	0.212609	0	0	47.2	0.0641304	7.68233	0.010438	7.33972	0.00997244	3247	32	138178	51992	184166	1940664	495812
1	1100	161.143	0.146494	230.735	0.209759	259.422	0.235838	154.4	0.140364	16.8822	0.0153474	28.1596	0.0255996	0	5642	445022	77673	1010856	522892	1022946
1	595	0	0	48.4929	0.0815007	8.31222	0.0139701	74.2	0.124706	3.12984	0.00526024	5.46881	0.00919128	0	48	254318	112133	820152	332188	832242
1	767	106.178	0.138433	70.2914	0.0916446	266.693	0.347709	284	0.370274	3.17361	0.0041377	27.8238	0.0362761	29873	12096	87328	62106	1546962	2044893	1522545
1	781	112.759	0.144377	40.5861	0.0519668	162.25	0.207746	0	0	5.8803	0.0075292	7.67552	0.00982781	1374	5988	426547	64388	1420677	1543767	2042862
1	1202	279.778	0.232761	75.76	0.0630283	74.9876	0.0623857	94.6	0.0787022	7.44158	0.006191	14.3916	0.011973	115	1014	261697	228817	1255827	1378917	2207291
1	519	0	0	37.6193	0.0724842	86.7981	0.167241	0	0	1.30592	0.00251623	45.4295	0.0875327	29206	5608	60831	60899	1054961	1178051	2408840
1	613	185.143	0.302027	352.461	0.574977	0	0	229.8	0.374878	12.2348	0.019959	35.4993	0.0579107	0	895	32580	819	212376	335466	1891836
1	793	164.906	0.207952	444.044	0.559954	27.5465	0.034737	127.1	0.160277	7.80636	0.00984408	7.67552	0.00967909	35280	11297	30918	7630	29899	50353	1606723
1	775	345.56	0.445884	203.655	0.262781	0	0	231.7	0.298968	4.96105	0.00640135	6.71608	0.00866591	0	0	16967	10076	154010	156323	1398803
