DSBType	Size	Sum_H3K36me3	Sum_H3K27me3	Sum_H3K4me3	Sum_CTCF	Sum_DNaseIHSS1	Sum_DNaseIHSS2	DistanceToOrigin	DistanceToCTCF	DistanceToDNaseIHSS1	DistanceToDNaseIHSS2	DistanceToH3K4me3	DistanceToH3K27me3	DistanceToH3K36me3
1	352	0	0	0	0	0	6.71608	0	1734	226557	78837	388429	133615	544051
1	649	5.94112	116.364	60.2408	59.9	8.23681	29.7427	11267	10630	206509	42706	77890	37642	375649
1	445	0	0	0	8.9	5.03401	0	3568	6663	33071	18776	180031	25863	328022
1	659	104.347	270.963	0	0	4.94646	10.362	1588	12101	23508	12065	23104	20593	25859
1	709	95.3674	251.93	6.46404	208.3	7.31025	0	10908	432	300485	37014	678589	12342	1025967
1	382	46.8606	178.404	31.8476	128.7	9.74701	23.2664	0	0	16587	16596	100728	495605	266849
1	597	118.969	274.05	0	0	10.6663	29.5987	6863	1843	8464	8498	766870	1963	1023363
1	779	11.953	0	293.052	123.2	7.11327	0	0	4035	172303	6670	6075	574185	151172
1	567	15.6308	0	0	68.5	1.36429	0	6791	9113	112678	12250	105945	2436209	267432
1	793	250.982	228.159	73.3045	116.6	11.4907	10.218	19784	3155	39828	15020	71364	1084851	344973
1	1387	211.476	282.369	0	513.4	15.9848	7.5316	18108	0	4401	4401	314608	252496	363212
1	534	446.694	111.687	0	34.3	7.28108	6.71608	11113	2541	8247	911	7606	453136	21455
1	639	162.745	6.93539	67.811	43.4	7.38321	0	0	5133	20459	20459	19332	38672	7749
1	956	18.8375	104.511	45.7012	99.2	4.81514	6.71608	4811	3715	507473	43976	1040887	1551181	1652478
1	771	83.4854	168.655	0	0	2.34191	13.4322	13406	5210	30191	6510	103412	103798	139752
1	483	38.267	128.657	0	84.1	1.02869	10.6018	13417	17002	57743	9954	82730	35977	115127
1	338	0	0	0	69	0.423149	0	13452	529	112041	28636	28369	791438	1055785
1	715	105.738	99.5507	156.44	94.9	3.06418	19.6685	1233	1601	31856	101670	237366	1299866	927709
1	986	0	68.3631	0	118.1	1.12353	36.6986	16791	4016	705744	20402	704972	1885980	1004707
1	750	212.16	0	0	69.7	7.52912	14.0078	4104	10265	1088099	37026	1097011	1494177	1396746
1	515	252.851	237.785	3.8259	0	7.3978	15.6389	749	8309	931602	90002	968166	1337680	1553478
1	1014	163.664	75.3057	20.6599	74.2	8.71102	6.71608	0	14512	153072	20587	152936	89949	2800710
1	948	113.936	181.502	0	199.7	3.41437	2.25468	15921	6074	122386	905	1178120	1322326	1438067
1	701	0	112.529	0	228.4	5.72709	0	2052	1025	47016	1132	358418	368138	598296
1	515	6.71928	118.396	0	231	1.92606	29.6467	6541	27423	79795	79775	635481	1141301	896835
1	522	94.7044	0	110.951	544.6	3.24657	7.67552	0	9993	9604	9584	9391	432361	12090
1	495	226.835	95.8088	0	131.3	9.55732	7.67552	10951	40062	15148	15141	585826	104261	590473
1	362	611.444	0	0	73.6	0.984915	14.3916	3934	5071	5156	5136	4593	64870	939
1	484	100.009	0	0	0	5.20911	0.287832	0	956	617896	1375	590781	660668	598822
1	1078	270.491	0	101.502	25.8	9.92211	24.3698	21008	5746	58415	5817	105189	908649	81908
1	535	205.96	0	0	0	8.70373	10.8417	16807	26575	543567	87727	2993062	2770503	3163100
1	1804	273.999	118.892	0	113.3	14.1536	13.4322	0	893	75309	72240	246311	5267034	1431243
1	1222	88.8986	0	0	206.6	5.85112	0	11056	5006	1780383	94619	1780138	1780116	4918743
1	622	0	0	110.951	0	7.87932	6.71608	0	2607	20203	48119	265114	5746719	5702671
1	745	0	0	0	1187.1	1.16731	1.67902	0	0	632519	47701	631008	632236	673669
1	687	0	315.456	0	302.7	2.8672	3.50196	33092	21089	94108	4726	335106	906771	342814
1	1029	105.738	31.1752	3.23253	134.8	14.0806	34.3959	2683	182	904	904	33802	84218	43436
1	639	0	118.892	0	208.9	8.15655	13.4322	0	8040	59000	59008	665770	1470477	1066830
1	769	295.643	0	0	115.6	4.30444	6.71608	0	9405	11048	11187	10818	1223964	48190
1	453	211.476	0	0	70	0.517993	0	104190	31808	1276774	40289	1703820	1947246	1688107
1	495	0	0	0	0	0	0	0	173995	378171	401459	805217	1048643	789504
1	773	248.51	229.123	0.46179	509.4	13.621	38.7614	50219	59	752	752	1155	12480	25351
1	408	0	0	23.7206	135.5	2.8599	17.078	19585	1454	10713	10733	12751	1265296	1013503
1	779	187.508	88.6401	0	69	2.23247	0	24912	3785	254764	17070	174064	3411355	850970
1	401	0	0	0	24.7	6.62446	0	1190	505	198044	198084	1855641	1944143	1866602
1	749	160.067	153.506	0	190.4	4.84432	1.15133	7045	1636	693427	36546	273977	2491701	2907558
1	739	0	0	0	52.5	6.10647	4.89315	9669	4277	21370	157650	439746	1776017	2191874
1	962	80.4091	73.857	0	48.4	5.40608	17.126	6757	2241	2217	2256	62577	27282	287860
1	462	0	118.892	0	69.7	5.39879	2.87832	10812	14404	30889	30909	30859	3340	37709
1	927	422.953	364.625	40.5545	167.6	6.7193	8.68293	0	497	78990	8970	26133	26697	6506
1	726	0	118.892	1.53036	0	5.26746	0	4016	23246	469107	22667	22788	5974801	472960
1	384	0	0	0	476.2	1.16731	0	35475	39020	324329	99007	98714	323112	138584
1	1136	55.6079	24.0527	0	0	6.36182	6.71608	0	1592	55944	53728	129603	68514	117426
1	766	2.43941	253.088	17.7587	0	7.66774	9.35454	2919	5478	13010	12990	243192	116290	289716
1	576	200.442	237.811	0	109.1	5.93138	32.1413	78905	1407	310043	1165	310132	230824	324821
1	955	945.209	10.8985	71.9269	505.6	22.4925	50.1787	3923	934	29215	29235	76285	789268	21987
1	744	67.5918	504.022	69.9634	184.8	7.3978	0	12	1909	27784	6972	142659	5461	95848
1	515	159.002	309.576	0	159.3	11.4031	3.50196	6343	0	26949	2860	115958	12060	203848
1	429	6.69718	209.573	0	168.7	4.3774	11.6092	7829	2027	12169	12204	68163	68692	1134195
1	480	0	0	66.5458	215.8	6.74119	21.2996	8111	2814	2793	57817	79095	571528	2721073
1	511	0	157.545	0	333.8	3.59676	5.6607	128335	12423	34943	12643	34482	148202	39534
1	744	262.046	91.1508	40.7398	79	10.9435	7.86741	134509	16786	41117	16830	40656	141795	45708
1	680	0	0	0	199.9	7.90121	30.0305	264	2535	1485911	48414	1687844	1750329	1692055
1	1000	357.17	368.242	125.301	154.9	10.5058	12.8085	0	6378	1275080	62860	1372494	1920311	1376705
1	1348	422.953	934.358	0	67.5	5.74169	76.1796	0	6388	32290	2570	44858	117264	57980
1	709	0	0	0	0	1.16731	0	11003	102322	33201	14422	109605	360113	247700
1	817	0	0	0	0	1.29863	7.67552	257595	144514	199253	161073	469591	572796	286313
1	816	278.759	332.451	64.6697	93.4	4.76407	7.67552	1907	7780	427836	14587	337791	308670	730797
1	755	0	0	0	0	0	10.9376	132929	218846	199399	198142	197948	621885	420595
1	487	77.5734	9.40168	0	90.4	3.67702	1.87091	0	18557	25713	23102	25156	156440	1520
1	3845	317.215	1188.98	2773.46	609	64.2019	33.9162	6079	17006	205919	43374	28652	603947	164725
1	703	0	0	0	247	2.94015	0	53015	79348	560223	88877	321456	958251	519029
1	347	0	0	0	441.4	7.49265	0	37887	31816	955579	21204	716812	1353607	914385
1	4150	211.476	118.892	0	871.4	33.706	14.3916	174244	128377	1148857	128518	910090	1546885	1107663
1	650	0	0	0	0	0	0	172108	134013	1154493	134154	915726	1552521	1113299
1	560	211.476	0	221.902	729.1	4.29714	0.527692	8502	4411	955820	20552	1402790	2039585	1600363
1	550	143.491	112.194	4.3428	160.5	3.09336	0	4544	5574	413232	44087	913397	912513	1059332
1	533	93.9111	0	87.5807	0	7.55101	27.9197	12228	6012	800863	234439	627030	1636729	2062670
1	447	0	4.94814	35.4445	0	3.16632	8.87482	1412	6156	260799	3433	434860	161202	587143
1	786	66.2855	93.1119	0	365	5.25288	3.5979	6125	12898	24150	24150	62140	41328	33420
1	1024	222.617	0	171.407	225.5	10.3088	8.10727	0	1017	1081	11319	474973	795191	540794
1	329	31.0052	0	0	86.3	4.73489	0	22769	4573	21672	13691	24660	94918	380
1	726	105.738	237.812	110.951	108.7	5.5447	0	1980	1313	44982	2743	60765	96737	151553
1	393	38.6174	0	221.876	755.9	10.1264	19.2848	0	17185	11919	4846	335260	835879	346494
1	2017	471.026	163.674	105.187	3182.8	97.4628	48.9315	0	20692	15426	0	330129	830748	341363
1	559	0	95.1232	8.41698	265.9	5.65414	15.8308	0	1785	19481	19541	19600	152753	27019
1	486	211.476	118.892	0	98.8	5.42798	10.1701	13170	5351	6141	5461	4485	11917	42031
1	449	145.582	157.239	0	0	6.98925	0.95944	0	6478	83121	58291	441098	1505740	1073313
1	541	0	0	0	372.4	7.44886	22.1151	9738	190940	933650	27001	990711	1279779	1072731
1	4337	646.084	648.818	232.007	9072.9	48.093	81.5524	14988	0	1167717	0	1224778	1513846	1306798
1	750	0	0	0	0	3.18821	19.0449	6795	11294	151738	10098	149271	943078	8877
1	947	105.738	264.951	27.7069	218	10.3744	7.67552	0	642	98039	746	82079	180381	197089
1	877	0	308.136	0	0	4.15853	6.71608	0	9767	1035816	18807	1279929	2685159	1740658
1	750	87.4437	161.451	0	228.8	4.81514	0	7913	2285	20362	20336	101472	186302	114760
1	696	74.6657	130.775	0	0	5.7125	16.3585	1787	2077	71276	50388	156386	609440	235450
1	515	63.0716	0	0	0	1.13812	0	3553	1934	88532	10216	39889	87336	225540
1	608	105.738	0	221.902	69	5.90948	27.1042	20786	883	129199	10034	538344	686991	521763
1	645	11.0335	0	25.2509	0	4.66923	12.4727	0	379	589429	13380	998574	1147221	981993
1	710	297.948	117.806	57.3885	172.4	13.7158	11.5133	1480	10282	1074724	17892	1483869	1632516	1467288
1	383	50.5703	0	13.7732	70.5	3.92507	6.71608	4673	2062	499785	237602	497988	4392299	464317
1	837	77.2346	284.369	0	23.4	8.47756	10.5538	33445	1607	69284	4104	4142	29879	99973
1	530	0	0	0	0	0.678497	0	21248	73098	93638	93618	72245	107040	134205
1	664	584.357	53.5016	0	245.5	15.7149	21.0597	0	1965	35594	35596	45144	408533	1047
1	1128	105.738	65.8268	110.951	132.7	18.1516	17.6537	28904	5506	11923	16763	4935	280687	53582
1	1091	179.295	269.511	0	448.9	18.2611	32.7169	0	3794	5690	5710	7447	88908	49103
1	459	211.476	227.891	2.29554	200.6	10.3453	19.1408	2803	4739	35042	7106	114532	20140	230893
1	359	0	0	0	0	2.32002	4.12559	1253	8483	44898	7045	186865	187734	207237
1	319	316.295	0	0	54.9	6.28886	13.4322	0	8539	5680	5640	4206	132513	73
