DSBType	Size	Sum_H3K36me3	Sum_H3K27me3	Sum_H3K4me3	Sum_CTCF	Sum_DNaseIHSS1	Sum_DNaseIHSS2	DistancetoOrigin	DistanceToCTCF	DistanceToDNaseIHSS1	DistanceToDNaseIHSS2	DistanceToH3K4me3	DistanceToH3K27me3	DistanceToH3K36me3
1	671	0	118.892	110.951	0	12.9717	29.7426	0	1945	64677	52978	440317	53982	2742542
1	488	211.476	118.892	0	0	3.06418	0	40474	129084	132486	29566	324212	979571	1121250
1	785	105.738	0	0	91	5.7271	26.8643	2699	53217	56619	37548	248345	903704	1045383
1	970	119.53	126.819	56.6233	187.9	8.79857	14.3916	52089	1708	12366	8711	30916	455159	596838
1	671	754.88	0	150.74	253	32.0134	47.5403	0	608	16987	1014	1061	93111	15853
1	968	0	96.1047	0	0	0.379375	3.45398	90903	1388	22689	803	41272	350148	52024
1	292	0	194.46	43.0165	0	1.69259	0	14609	3523	239021	6259	80849	205480	225863
1	394	0	228.155	0	21.3	4.58897	1.00741	20407	17470	56890	23926	73603	327479	46151
1	754	317.215	237.808	0	195.5	9.00284	59.4853	91398	1239	22737	22757	337956	370888	310504
1	713	516.554	46.514	0	12.1	17.9109	15.8787	2655	5552	41159	25930	40870	166288	8907
1	512	0	141.295	0	0	0.124026	3.5979	32029	17214	31754	27460	31300	3600	40789
1	708	285.029	0	0	232.8	11.1186	0	0	0	13054	13115	47829	705565	98883
1	700	211.476	98.0862	75.7528	0	4.07098	0	12405	2051	10269	10289	10103	627197	13237
1	440	105.738	0	0	192.3	8.47027	7.67552	2903	11133	163420	25718	162591	710347	152999
1	761	0	0	0	276.6	3.91777	29.7906	30445	5268	26773	25307	449186	152164	597684
1	449	0	118.892	9.94734	26	3.40708	0	38160	12965	21865	73185	349581	142851	301711
1	791	304.342	73.7619	72.724	707.2	9.77619	7.67552	10009	3262	32351	2814	32093	147570	186186
1	1059	78.7016	99.5398	68.3063	152	5.42067	45.0937	45994	343	4884	3889	6285	714040	10485
1	456	0	184.286	94.1171	0	3.90318	7.67552	3615	14621	70011	69888	199318	1098814	236208
1	650	319.973	291.969	110.951	528.2	9.68864	19.3807	27234	1717	604186	174893	733493	934143	770383
1	481	105.738	118.892	0	0	3.34141	6.71608	13837	1055	636095	206802	765402	902403	802292
1	707	151.836	133.754	0	324.7	3.77915	7.72349	11289	8948	562214	194865	1027495	640084	1064385
1	549	0	62.2353	22.2936	8.1	4.12205	0	0	1	13829	14339	551308	63344	563398
1	691	0	7.92616	255.218	382.9	4.27526	6.04447	0	25502	203525	45773	1028099	1526030	1003682
1	330	0	110.971	167.56	0	4.94646	5.27692	13428	15965	187519	51767	1044466	1542397	1020049
1	966	0	200.136	0	270.6	9.5719	0	0	3057	386520	77999	1641617	1764707	1821737
1	803	105.738	118.892	0	261	4.3774	0	310	21	252723	238190	1246853	1369943	2216664
1	316	105.738	118.892	6.92685	0	4.61815	0	3942	1493	147922	147990	1142052	1265142	2321952
1	456	0	106.012	6.88662	83	4.30445	0	31143	7545	58957	59025	1053087	1176177	2410777
1	396	0	0	0	0	0	0	21284	45247	149385	102405	156909	44873	293827
1	755	1047.16	446.225	161.446	261.4	125.194	86.3496	3833	2282	17453	0	16086	70622	3617
1	498	0	120.874	0	985.9	2.1887	15.3511	0	2502	17355	17335	17111	18242	26689
1	704	681.316	135.69	76.0612	558.1	1.54668	6.71608	11648	21869	117659	116553	116049	414398	48357
1	831	244.825	368.28	26.7838	0	14.781	37.2263	414	755	33720	16066	202267	13129	169281
1	624	0	228.879	0	233.8	3.62594	6.09244	0	1222	95638	29157	140556	2538	199913
1	576	368.767	272.36	738.997	475.5	10.8924	36.3148	65104	1066	4154	4174	2392	99396	1270
1	1320	422.953	511.743	221.897	199.6	9.15605	1.43916	9209	8275	152432	65196	469002	289125	437707
1	714	0	292.007	0	0	10.9581	0	17083	605	229923	85724	408911	246114	418367
1	470	0	0	0	20.3	3.16632	11.4173	18548	492	228479	84280	407467	244670	416923
1	411	0	0	0	0	0	0	309074	105015	165867	105107	227842	1001752	873185
1	2377	105.738	0	110.951	3542.9	10.6517	49.8909	310915	106856	167708	106948	229683	1003593	875026
1	798	0	0	0	0	0	0	326857	122798	183650	122890	245625	1019535	890968
1	575	0	0	0	0	0	0	329799	125740	186592	125832	248567	1022477	893910
1	1175	0	0	0	0	0	0	331643	127584	188436	127676	250411	1024321	895754
1	763	0	0	0	0	0	1.91888	335488	131429	192281	131521	254256	1028166	899599
