DSB_type	Size	Covered	Sum_324YFT	Mean0_324YFT	Mean_324YFT	Sum_533NLA	Mean0_533NLA	Mean_533NLA	Sum_965GIX	Mean0_965GIX	Mean_965GIX	Sum_CTCF	Mean0_CTCF	Mean_CTCF	Sum_709PEX	Mean0_709PEX	Mean_709PEX	Sum_529JFV	Mean0_529JFV	Mean_529JFV
DAuniqueA	680	680	156.608	0.230306	0.230306	118.892	0.174842	0.174842	0	0	0	625.9	0.920441	0.920441	13.4322	0.0197532	0.0197532	5.57388	0.00819689	0.00819689
DAuniqueA	668	668	1368.2	2.0482	2.0482	365.616	0.54733	0.54733	273.765	0.409827	0.409827	1067.9	1.59865	1.59865	76.4674	0.114472	0.114472	182.691	0.273489	0.273489
DAuniqueA	355	355	224.848	0.633375	0.633375	0	0	0	0	0	0	277.6	0.781972	0.781972	0.527692	0.00148646	0.00148646	9.06122	0.0255246	0.0255246
DAuniqueA	471	471	81.9346	0.173959	0.173959	92.1819	0.195715	0.195715	54.4791	0.115667	0.115667	125.3	0.26603	0.26603	0	0	0	6.60987	0.0140337	0.0140337
DAuniqueA	515	515	362.522	0.703926	0.703926	0	0	0	0	0	0	149.6	0.290485	0.290485	20.2922	0.0394023	0.0394023	5.3842	0.0104547	0.0104547
DAuniqueA	652	652	1007.49	1.54523	1.54523	0	0	0	0	0	0	323.1	0.495552	0.495552	7.67552	0.0117723	0.0117723	9.68864	0.0148599	0.0148599
DAuniqueA	548	548	0	0	0	57.656	0.105212	0.105212	0	0	0	137.3	0.250547	0.250547	14.7754	0.0269624	0.0269624	12.6069	0.0230053	0.0230053
DAuniqueA	907	907	0	0	0	0	0	0	0	0	0	370.6	0.4086	0.534006	0	0	0	2.72858	0.00300835	0.00300835
DAuniqueA	442	442	0	0	0	190.81	0.431697	0.431697	0	0	0	349.2	0.790045	0.790045	18.0855	0.0409173	0.0409173	2.11574	0.00478674	0.00478674
DAuniqueA	452	452	212.396	0.469902	0.469902	0	0	0	0	0	0	366.3	0.810398	0.830612	0	0	0	0.627427	0.00138811	0.00138811
DAuniqueA	910	910	0	0	0	74.2233	0.0815641	0.0815641	0	0	0	403.8	0.443736	0.472834	6.71608	0.00738031	0.00738031	8.06901	0.00886704	0.00886704
DAuniqueA	990	990	36.7784	0.0371499	0.0371499	284.379	0.287251	0.287251	0	0	0	71	0.0717172	0.0717172	22.0671	0.02229	0.02229	2.04279	0.00206342	0.00206342
DAuniqueA	465	465	0	0	0	14.783	0.0317913	0.0317913	0	0	0	228.5	0.491398	0.491398	6.71608	0.0144432	0.0144432	2.58266	0.00555411	0.00555411
DAuniqueA	752	752	8.3619	0.0111195	0.0111195	139.18	0.18508	0.18508	17.548	0.0233351	0.0233351	89	0.118351	0.140157	13.4322	0.0178619	0.0178619	11.6147	0.0154451	0.0154451
DAuniqueA	470	470	105.738	0.224974	0.224974	0	0	0	0	0	0	115	0.244681	0.244681	7.09986	0.0151061	0.0151061	1.02139	0.00217318	0.00217318
DAuniqueA	645	645	134.857	0.209081	0.209081	166.02	0.257396	0.257396	0	0	0	44.3	0.0686822	0.0686822	1.29524	0.00200813	0.00200813	1.40077	0.00217173	0.00217173
DAuniqueA	593	593	586.483	0.989011	0.989011	192.458	0.324549	0.324549	35.5227	0.0599033	0.0599033	69.4	0.117032	0.117032	66.2014	0.111638	0.111638	21.1064	0.0355925	0.0355925
