DSB_type	Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2	DistancetoOrigin	DistanceToCTCF	DistanceToDNaseIHSS1	DistanceToDNaseIHSS2	DistanceToH3K4me3	DistanceToH3K27me3	DistanceToH3K36me3
1	652	1007.49	1.54523	0	0	0	0	323.1	0.495552	9.68864	0.0148599	7.67552	0.0117723	0	196	8217	7537	7472	204859	22378
1	548	0	0	57.656	0.105212	0	0	137.3	0.250547	12.6069	0.0230053	14.7754	0.0269624	0	3232	28791	12520	15715	188468	6872
1	907	0	0	0	0	0	0	370.6	0.534006	2.72858	0.00300835	0	0	23830	22818	56654	50474	56275	22893	60294
1	442	0	0	190.81	0.431697	0	0	349.2	0.790045	2.11574	0.00478674	18.0855	0.0409173	0	20247	86054	32772	167326	55405	273865
1	452	212.396	0.469902	0	0	0	0	366.3	0.830612	0.627427	0.00138811	0	0	31441	5798	8558	7591	56808	56310	634
1	910	0	0	74.2233	0.0815641	0	0	403.8	0.472834	8.06901	0.00886704	6.71608	0.00738031	0	3957	3975	3995	24210	832621	363041
1	990	36.7784	0.0371499	284.379	0.287251	0	0	71	0.0717172	2.04279	0.00206342	22.0671	0.02229	0	12865	184414	8514	248545	14636	197602
1	465	0	0	14.783	0.0317913	0	0	228.5	0.491398	2.58266	0.00555411	6.71608	0.0144432	19824	633	205813	11747	269944	5655	219001
1	752	8.3619	0.0111195	139.18	0.18508	17.548	0.0233351	89	0.140157	11.6147	0.0154451	13.4322	0.0178619	0	2489	390603	0	454734	190445	403791
1	470	105.738	0.224974	0	0	0	0	115	0.244681	1.02139	0.00217318	7.09986	0.0151061	29191	5047	128577	1137	127715	357824	150112
1	645	134.857	0.209081	166.02	0.257396	0	0	44.3	0.0686822	1.40077	0.00217173	1.29524	0.00200813	18627	3848	7322	6840	35595	299850	122884
1	593	586.483	0.989011	192.458	0.324549	35.5227	0.0599033	69.4	0.117032	21.1064	0.0355925	66.2014	0.111638	24718	2054	1885	1625	2900	153281	71659
1	419	0	0	103.044	0.245929	0	0	0	0	5.85842	0.0139819	20.9158	0.0499184	52086	3973	167567	2933	159811	112907	303982
1	888	201.362	0.226759	97.071	0.109314	69.9934	0.0788215	91.5	0.103041	3.05688	0.00344243	6.71608	0.00756315	5651	1873	400642	335915	400203	574123	1208786
1	339	0	0	0	0	0	0	412	1.21534	2.8526	0.00841476	0	0	0	0	839510	16488	838837	840070	1588320
1	712	229.971	0.322993	0	0	154.912	0.217573	241	0.338483	5.66873	0.0079617	14.6794	0.0206172	0	545	796652	20016	917435	918668	1509349
1	559	39.0429	0.0698442	133.133	0.238162	97.6046	0.174606	183.6	0.328444	3.82292	0.00683886	0.575664	0.00102981	993	3820	58184	58184	256861	535264	770881
1	866	4.401	0.00508199	350.679	0.404942	41.2541	0.0476375	154.7	0.178637	0	0	0	0	24145	1948	26045	26045	224722	503125	738742
1	647	121.369	0.187587	397.327	0.614106	0	0	0.5	0.000772798	12.14	0.0187635	25.4252	0.039297	6791	777	71396	69036	128028	147576	383193
1	572	32.1811	0.0562607	118.892	0.207854	110.951	0.19397	42.7	0.0746504	10.7538	0.0188004	29.3109	0.0512428	0	1905	2072	2052	115051	222601	108757
1	433	2.73336	0.00631261	47.4652	0.109619	0	0	82.3	0.190069	12.8112	0.029587	6.71608	0.0155106	5622	3910	21119	6620	138962	198829	132668
1	732	180.043	0.245961	413.111	0.564359	72.7125	0.099334	0	0	13.9931	0.0191162	14.5355	0.0198573	24374	2855	21288	17133	17879	17559	710526
1	479	416.063	0.868609	644.061	1.3446	0	0	585.6	1.22255	19.0709	0.0398139	148.713	0.310466	1091	957	0	0	102670	47777	589232
1	610	53.6324	0.087922	221.738	0.363505	0	0	28.3	0.0463934	4.81514	0.00789368	10.0741	0.016515	7861	2817	15002	15298	60559	432	85118
1	844	58.2813	0.0690536	0	0	0	0	70.1	0.0830569	1.88228	0.00223019	15.3511	0.0181885	33061	8548	59855	22113	537112	1100697	2034866
1	671	0	0	118.892	0.177187	110.951	0.165352	0	0	12.9717	0.0193319	29.7426	0.0443259	0	1945	64677	52978	440317	53982	2742542
1	488	211.476	0.433352	118.892	0.243632	0	0	0	0	3.06418	0.00627905	0	0	40474	129084	132486	29566	324212	979571	1121250
1	785	105.738	0.134698	0	0	0	0	91	0.172023	5.7271	0.00729567	26.8643	0.0342221	2699	53217	56619	37548	248345	903704	1045383
1	970	119.53	0.123227	126.819	0.130741	56.6233	0.0583746	187.9	0.193711	8.79857	0.00907069	14.3916	0.0148367	52089	1708	12366	8711	30916	455159	596838
1	671	754.88	1.12501	0	0	150.74	0.22465	253	0.377049	32.0134	0.04771	47.5403	0.0708499	0	608	16987	1014	1061	93111	15853
1	968	0	0	96.1047	0.0992817	0	0	0	0	0.379375	0.000391916	3.45398	0.00356817	90903	1388	22689	803	41272	350148	52024
1	292	0	0	194.46	0.665959	43.0165	0.147317	0	0	1.69259	0.00579655	0	0	14609	3523	239021	6259	80849	205480	225863
1	394	0	0	228.155	0.579074	0	0	21.3	0.0540609	4.58897	0.0116471	1.00741	0.00255688	20407	17470	56890	23926	73603	327479	46151
1	754	317.215	0.420709	237.808	0.315396	0	0	195.5	0.259284	9.00284	0.0119401	59.4853	0.0788929	91398	1239	22737	22757	337956	370888	310504
1	713	516.554	0.72448	46.514	0.0652371	0	0	12.1	0.0183333	17.9109	0.0251204	15.8787	0.0222703	2655	5552	41159	25930	40870	166288	8907
1	512	0	0	141.295	0.275967	0	0	0	0	0.124026	0.000242239	3.5979	0.00702715	32029	17214	31754	27460	31300	3600	40789
1	708	285.029	0.402583	0	0	0	0	232.8	0.328814	11.1186	0.0157042	0	0	0	0	13054	13115	47829	705565	98883
1	700	211.476	0.302109	98.0862	0.140123	75.7528	0.108218	0	0	4.07098	0.00581568	0	0	12405	2051	10269	10289	10103	627197	13237
1	440	105.738	0.240313	0	0	0	0	192.3	0.437045	8.47027	0.0192506	7.67552	0.0174444	2903	11133	163420	25718	162591	710347	152999
1	761	0	0	0	0	0	0	276.6	0.363469	3.91777	0.00514818	29.7906	0.0391467	30445	5268	26773	25307	449186	152164	597684
1	449	0	0	118.892	0.264794	9.94734	0.0221544	26	0.0579065	3.40708	0.00758814	0	0	38160	12965	21865	73185	349581	142851	301711
1	791	304.342	0.384756	73.7619	0.0932514	72.724	0.0919393	707.2	0.894058	9.77619	0.0123593	7.67552	0.00970357	10009	3262	32351	2814	32093	147570	186186
