Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2	Distance_to_Origin	Distance_to_CTCF	Distance_to_DNaseIHSS1	Distance_to_DNaseIHSS2	Distance_to_H3K4me3	Distance_to_H3K27me3	Distance_to_H3K36me3
896	1908.82	2.13038	435.967	0.48657	99.1189	0.110624	1908.82	435.967	8.5797	0.00957556	0	0	12	225317	9089	10192	9692	2398	0
1650	4360.18	2.64253	765.443	0.463905	118.472	0.0718013	4360.18	765.443	36.9161	0.0223734	25.1853	0.0152638	0	310933	217317	100354	7736	2982	19917
972	166.351	0.171143	54.2659	0.0558291	0	0	166.351	54.2659	1.8458	0.00189898	0	0	1060205	253520	366877	13468	12948	6057	56206
1329	124.546	0.0937143	0	0	0	0	124.546	0	3.21009	0.00241542	7.67552	0.00577541	38919	253588	27984	29282	29282	6343	3423
552	104.904	0.190043	363.386	0.658309	109.948	0.199181	104.904	363.386	7.88661	0.0142873	11.0815	0.0200752	211655	284035	92328	93120	17540	2069	0
1317	231.015	0.17541	199.124	0.151195	252.313	0.191582	231.015	199.124	40.3888	0.0306673	111.679	0.0847979	4685047	21124528	1091732	4338567	2043	0	855112
769	1412.3	1.83654	221.932	0.288599	221.893	0.288547	1412.3	221.932	17.495	0.0227503	27.0083	0.0351213	37065	320404	23835	24425	20998	3498	0
2678	335.604	0.125319	470.641	0.175743	0	0	335.604	470.641	26.1404	0.00976116	26.9123	0.0100494	106848	30530	8627	9026	9016	9053	1206
1406	105.738	0.0752048	76.1031	0.0541274	0	0	105.738	76.1031	5.51552	0.00392284	13.1443	0.00934874	872100	827552	755934	86933	90135	952	467737
1113	86.9026	0.0780796	63.3471	0.0569157	110.951	0.0996865	86.9026	63.3471	16.0505	0.0144209	15.351	0.0137925	1246809	3185659	1117742	233630	50647	0	62561
1469	192.372	0.130954	30.705	0.020902	105.793	0.0720173	192.372	30.705	2.33461	0.00158925	13.4322	0.00914375	4777294	5309546	1469447	1918291	127416	2325	0
1099	313.179	0.284967	92.5943	0.0842532	0	0	313.179	92.5943	2.80883	0.00255581	1.24727	0.00113492	4631739	850278	850187	770138	43580	0	0
1143	53.967	0.0472152	94.0954	0.0823232	237.932	0.208165	53.967	94.0954	29.7955	0.0260678	24.5137	0.0214468	1472329	76632	77640	1460618	53074	11753	1146
1147	257.716	0.224687	118.892	0.103655	110.951	0.0967316	257.716	118.892	3.93236	0.00342839	7.91538	0.00690094	447160	6251774	549423	522874	12104	10259	49036
