DSBType	Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2	DistanceToOrigin	DistanceToCTCF	DistanceToDNaseIHSS1	DistanceToDNaseIHSS2	DistanceToH3K4me3	DistanceToH3K27me3	DistanceToH3K36me3
1	585	0	0	0	0	0	0	0	0	6.28156	0.0107377	15.3511	0.0262411	9932	17550	1336922	24970	1335327	1951671	1333584
1	845	98.3822	0.116429	118.892	0.140701	0	0	0	0	6.47855	0.00766693	10.7937	0.0127736	44162	9773	818022	57202	816427	2470311	814684
1	290	0	0	0	0	0	0	0	0	0	0	3.21412	0.0110832	6102	7612	9414	9454	48398	1063514	156202
1	585	162.744	0.278196	370.574	0.633459	110.951	0.18966	119.1	0.20359	10.5787	0.0180833	0	0	45584	20266	84803	51003	175560	606764	294463
1	974	118.313	0.121471	666.775	0.684574	69.9909	0.0718593	123.1	0.126386	9.71053	0.00996974	36.027	0.0369887	0	8386	108158	22397	228048	150	267523
1	1299	66.9303	0.0515245	0	0	97.0838	0.0747373	361.3	0.345411	4.37011	0.00336421	15.351	0.0118176	29000	0	10681	9941	10080	1872611	187282
1	440	0	0	5.44313	0.0123708	0	0	174.7	0.397045	3.85211	0.00875479	0	0	3225	9333	1256940	64469	1497985	1885907	1960843
1	436	84.5903	0.194014	438.939	1.00674	0	0	131.7	0.302064	6.56609	0.0150598	37.3222	0.0856014	1418	7324	11107	11106	895707	739062	990347
1	951	160.905	0.169196	0	0	0	0	200.9	0.211251	5.18721	0.00545448	1.00741	0.00105932	0	9114	262218	16558	1467587	1879328	1640990
1	465	0	0	80.2524	0.172586	0	0	0	0	7.87202	0.0169291	7.96335	0.0171255	13564	1167	553093	97393	1177198	1588939	1350601
1	765	63.4427	0.0829317	0	0	0	0	470.8	0.615425	1.05787	0.00138284	0	0	9564	3316	866536	179235	863455	1275196	1036858
1	625	104.779	0.167646	235.907	0.377452	0	0	170.2	0.27232	4.3774	0.00700384	9.30658	0.0148905	0	398	45413	28595	89120	605461	53750
