Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2	DistanceToOrigin	DistanceToCTCF	DistanceToDNaseIHSS1	DistanceToDNaseIHSS2	DistanceToH3K4me3	DistanceToH3K27me3	DistanceToH3K36me3
922	0	0	0	0	0	0	0	0	0.773341	0.000838765	0	0	20880	4850	196193	26505	247727	33888	316615
908	0	0	341.839	0.376474	14.5384	0.0160115	244.8	0.269604	1.02139	0.00112488	7.67552	0.00845322	879	0	136096	5356	414209	89901	683168
1932	0	0	0	0	0	0	0	0	0	0	0	0	10320	4171	22932	18732	18825	101774	27022
852	372.39	0.437077	106.954	0.125533	1326.82	1.5573	36.7	0.0430751	20.136	0.0236339	32.8129	0.0385128	9414	4798	114599	16592	24872	35912	361188
1131	221.41	0.195764	56.4482	0.04991	215.713	0.190727	2039.1	2.89234	25.9142	0.0229127	59.0536	0.0522136	11639	32785	209245	65449	209018	1504708	479712
820	0	0	118.892	0.144991	127.785	0.155835	69	0.0841463	17.0573	0.0208015	11.4173	0.0139236	0	7416	2714	722	651	36514	6581
378	1.83892	0.00486487	0	0	0	0	335.1	0.886508	2.67021	0.00706406	0	0	0	2261	92654	16314	135145	378571	119432
845	156.349	0.185029	67.4669	0.0798425	0	0	234.9	0.277988	6.30346	0.00745971	16.8382	0.0199268	0	12262	306817	90812	475414	307828	379912
966	193.033	0.199827	29.7076	0.0307532	77.2832	0.0800033	69	0.0714286	6.12836	0.00634405	22.0671	0.0228438	13600	65450	85990	85970	64597	99392	126557
803	85.3106	0.10624	0	0	0	0	0	0	7.02573	0.00874935	29.7427	0.0370394	26512	13217	262831	19431	235564	3803586	255993
828	11.0335	0.0133255	54.9406	0.0663533	0	0	77.8	0.0939614	7.79177	0.00941035	6.71608	0.00811121	16310	1594	107021	23435	106926	110394	150035
604	474.269	0.785214	167.68	0.277617	0	0	93.3	0.15447	14.387	0.0238196	16.6463	0.0275601	1836	332	5334	5314	56540	186512	898
887	101.282	0.114185	0	0	110.951	0.125086	889	1.00225	3.06418	0.00345454	0	0	60957	81889	602002	50802	1620609	5310637	5338422
620	0	0	0	0	0	0	468.4	0.755484	0	0	6.71608	0.0108324	7259	10019	11615	11615	41357	1225980	403248
688	81.88	0.119012	0	0	0	0	105.7	0.153634	8.04712	0.0116964	7.67552	0.0111563	12946	1944	1908	1928	96496	220438	33964
550	0	0	0	0	0	0	23.8	0.0952	1.27674	0.00232135	0	0	33223	3155	294792	54576	288488	1527702	1555190
766	458.116	0.598062	209.768	0.273849	86.4653	0.112879	596	0.890882	6.18673	0.00807667	0	0	9517	639	4600	4620	4135	204594	7407
818	321.059	0.392493	118.892	0.145345	350.519	0.428507	555.1	0.823591	6.52232	0.0079735	6.71608	0.00821037	13761	188	256876	256868	729896	717643	740203
620	0	0	161.524	0.260523	84.6988	0.136611	192.3	0.310161	6.82874	0.0110141	7.67552	0.0123799	947	82415	396597	270795	396260	300253	398937
651	0	0	0	0	0	0	0	0	0	0	0	0	5091	4802	11578	3115	2952	11277	12298
392	0	0	0	0	0	0	46	0.117347	3.38518	0.00863567	17.4618	0.0445455	111784	35351	1103375	664377	1102850	1103688	2397301
974	105.738	0.10856	0	0	110.951	0.113913	132.2	0.147709	1.1819	0.00121345	14.3916	0.0147758	4695	4320	3946	3906	54778	322139	12667
636	0	0	0	0	0	0	0	0	2.04278	0.00321192	0	0	82167	168588	885255	107355	885502	17671216	1231735
283	27.4232	0.0969019	0	0	0	0	0	0	0	0	1.24727	0.00440732	263964	202392	238804	238804	238449	503728	244451
580	28.5033	0.0491436	74.3082	0.128118	88.7609	0.153036	418	0.72069	7.61667	0.0131322	0	0	1976	0	415016	47897	283597	136054	475826
668	168.493	0.252235	0	0	0	0	0	0	7.45617	0.0111619	39.8647	0.0596777	4931	38462	225120	211740	1286471	2600189	2275927
821	225.919	0.275175	17.9231	0.0218308	117.985	0.143709	143.8	0.175152	4.82973	0.00588274	9.16265	0.0111604	0	3633	26290	1084	24986	39323	9042
1278	0	0	0	0	43.1769	0.0337847	96.1	0.0751956	8.15655	0.00638228	18.853	0.014752	13079	1685	13440	4731	45112	46393	174097
792	273.999	0.345958	0	0	0	0	194.6	0.245707	10.0097	0.0126384	7.67552	0.00969131	18869	27656	275276	101984	571505	252477	1063898
1171	273.808	0.233824	121.206	0.103507	0	0	0	0	5.90219	0.0050403	14.3916	0.01229	159676	21054	5830289	28781	398422	22616250	6176769
470	0	0	0	0	0	0	337.4	0.885564	0.0291827	6.21E-05	0	0	15734	7403	44979	7479	35315	35909	839748
1991	0	0	0	0	110.951	0.0557263	801.6	0.61709	20.5738	0.0103334	55.6475	0.0279495	197468	22386	261776	106763	116799	44448	1600778
660	0	0	71.0339	0.107627	104.82	0.158818	128.7	0.195	7.81365	0.0118389	12.7606	0.0193342	21576	4163	104432	18161	103692	310074	134321
2727	0	0	0	0	0	0	188.7	0.827632	1.16731	0.000428055	0	0	22937	5055	137376	22739	135517	3084473	94723
666	73.3748	0.110172	0	0	225.397	0.338434	3204.2	4.81111	27.2128	0.0408601	14.3916	0.021609	13483	4450	654093	245764	753192	6235287	1081810
589	14.4244	0.0244896	68.2148	0.115815	0	0	0	0	0.43774	0.000743192	2.87832	0.00488679	12925	38077	21685	21685	43448	241946	74185
280	0	0	0	0	0	0	0	0	0.43774	0.00156336	0	0	0	59285	373467	247665	373130	277123	375807
925	335.27	0.362454	165.272	0.178672	121.743	0.131614	2218	2.39784	49.3552	0.0533569	75.3161	0.0814228	395984	73552	21231	4277	13087	1536382	19185
1250	694.628	0.555703	537.695	0.430156	200.058	0.160046	955.8	0.76464	13.424	0.0107392	7.67552	0.00614042	12475	864	165486	33518	792861	2667984	1200649
465	0	0	80.2524	0.172586	0	0	0	0	7.87202	0.0169291	7.96335	0.0171255	13564	1167	553093	97393	1177198	1588939	1350601
757	545.991	0.721256	0	0	166.001	0.219287	172.2	0.227477	9.37493	0.0123843	25.4731	0.0336501	21470	760	115600	27399	2190	436762	26774
518	0	0	0	0	9.94734	0.0192034	0	0	3.1955	0.00616892	0	0	51715	1657	82543	32055	132131	2092377	1107564
969	284.304	0.293399	41.729	0.043064	32.1184	0.0331459	2021.4	2.2116	17.4366	0.0179945	31.1818	0.0321794	3874	6183	332	332	0	97438	14928
595	0	0	0	0	0	0	0	0	0	0	0	0	165933	0	294664	139651	149687	12913	1569243
613	200.017	0.326292	0	0	18.8188	0.0306995	0	0	1.99172	0.00324913	14.3436	0.0233991	9859	2350	160602	100115	186919	3428634	2483578
763	968.195	1.26893	118.892	0.155822	0	0	25.5	0.0334207	7.87932	0.0103268	7.67552	0.0100597	12956	11604	342144	8025	342367	1464824	1554969
715	38.9483	0.0544732	60.8932	0.0851653	0	0	569.1	0.795944	2.88908	0.00404068	7.67552	0.010735	38995	1072	30429	19041	48709	17821	228560
