"Size" "Sum_H3K36me3" "Mean_H3K36me3" "Sum_H3K27me3" "Mean_H3K27me3" "Sum_H3K4me3" "Mean_H3K4me3" "Sum_CTCF" "Mean_CTCF" "Sum_DNaseIHSS1" "Mean_DNaseIHSS1" "Sum_DNaseIHSS2" "Mean_DNaseIHSS2" "DistanceToOrigin" "DistanceToCTCF" "DistanceToDNaseIHSS1" "DistanceToDNaseIHSS2" "DistanceToH3K4me3" "DistanceToH3K27me3" "DistanceToH3K36me3"
"881" "707" "80.9914" "0.114556" "197.86" "0.279858" "6.27984" "0.00888238" "238.1" "0.336775" "2.70669" "0.00382842" "13.4322" "0.0189988" "1044" "151412" "400711" "423999" "827757" "1071183" "812044"
"2421" "814" "105.738" "0.129899" "0" "0" "106.4" "0.130713" "330.9" "0.406511" "21.121" "0.0259471" "30.1744" "0.0370693" "0" "1134" "347822" "1747" "347236" "3487344" "361992"
"4017" "770" "30.3422" "0.0394054" "25.76" "0.0334546" "110.951" "0.144092" "367.8" "0.477662" "4.64004" "0.00602603" "16.5983" "0.0215562" "16328" "45315" "83547" "10615" "465014" "903624" "689883"
"1688" "773" "0" "0" "0" "0" "0" "0" "40.9" "0.0655449" "4.58167" "0.00592713" "0" "0" "187" "1022" "2463" "2463" "2757" "284975" "88039"
"3183" "326" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "264" "2837" "307831" "61637" "306657" "1273311" "262179"
"2769" "739" "57.3225" "0.0775677" "153.48" "0.207687" "139.413" "0.188651" "306.1" "0.414208" "1.94065" "0.00262605" "26.7684" "0.0362225" "0" "8486" "55717" "11291" "62879" "19858" "71948"
"63" "572" "32.1811" "0.0562607" "118.892" "0.207854" "110.951" "0.19397" "42.7" "0.0746504" "10.7538" "0.0188004" "29.3109" "0.0512428" "0" "1905" "2072" "2052" "115051" "222601" "108757"
"1401" "1140" "769.705" "0.67518" "0" "0" "0" "0" "498.2" "0.446016" "6.5588" "0.00575333" "10.5059" "0.00921567" "0" "0" "64986" "6211" "64632" "238985" "96296"
"186" "781" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "390588" "98655" "50187" "98359" "104395" "1240045"
"1838" "486" "0" "0" "61.1111" "0.125743" "0" "0" "0" "0" "3.20279" "0.00659011" "13.4322" "0.0276382" "239193" "257614" "4954983" "9096" "475813" "21740944" "5301463"
"1973" "938" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "20966" "0" "21376" "1212" "21430" "124291" "0"
"4161" "322" "27.2862" "0.0847398" "0" "0" "15.2391" "0.0473263" "351.8" "1.09255" "1.1819" "0.00367049" "7.67552" "0.023837" "0" "392" "21768" "20917" "20838" "501714" "124369"
"3739" "1185" "165.503" "0.139665" "341.823" "0.288458" "0" "0" "0" "0" "12.5923" "0.0106264" "13.72" "0.0115781" "0" "4387" "636502" "41043" "1208434" "2074152" "1249385"
"1298" "618" "53.3844" "0.0863826" "0" "0" "40.6327" "0.0657487" "0.6" "0.000970874" "2.15222" "0.00348256" "6.71608" "0.0108674" "7193" "696" "33064" "33093" "150671" "3154" "225276"
"525" "773" "274.92" "0.355653" "118.892" "0.153806" "0" "0" "90.9" "0.117594" "7.21542" "0.0093343" "22.0671" "0.0285474" "31" "102" "6952" "111" "14940" "29079" "798"
"2293" "1674" "135.737" "0.0810854" "361.007" "0.215656" "145.448" "0.0868865" "2304.3" "1.37652" "22.1496" "0.0132316" "92.2981" "0.0551363" "23708" "956" "10942" "10409" "165524" "166595" "1490010"
"2059" "636" "395.819" "0.622356" "159.037" "0.250058" "98.4421" "0.154783" "638.3" "1.00362" "63.1513" "0.0992945" "58.1421" "0.0914184" "1486657" "45963" "185604" "47164" "47180" "5668977" "265691"
"2809" "395" "0" "0" "70.3447" "0.178088" "108.656" "0.275077" "370.7" "0.938481" "7.00384" "0.0177312" "1.1993" "0.0030362" "22303" "2168" "19049" "19069" "19752" "1823" "30802"
"3146" "1304" "27.5838" "0.0211532" "116.415" "0.0892752" "0" "0" "321" "1.16304" "15.5981" "0.0119618" "0" "0" "18324" "15903" "565470" "0" "980856" "1402178" "1109683"
"2416" "876" "366.384" "0.418247" "147.642" "0.168542" "340.301" "0.388472" "1589" "1.81393" "53.9222" "0.0615551" "74.0208" "0.0844986" "4392" "1040" "14561" "14561" "14739" "270825" "367597"
"1305" "1024" "0" "0" "64.3856" "0.0628766" "0" "0" "252.8" "0.246875" "14.1098" "0.0137791" "7.67552" "0.00749563" "14738" "9286" "391898" "160312" "712025" "497288" "744554"
"4114" "1607" "155.176" "0.0965627" "268.941" "0.167356" "140.02" "0.087131" "0" "0" "4.50872" "0.00280568" "34.8757" "0.0217023" "14021" "13299" "179303" "36182" "178762" "2163060" "213494"
"2042" "633" "2.75838" "0.00435763" "118.892" "0.187824" "70.3966" "0.111211" "0" "0" "10.3744" "0.0163893" "12.2808" "0.019401" "2683" "8385" "348411" "210129" "620517" "3224451" "2587032"
"966" "372" "0" "0" "118.892" "0.319603" "104.83" "0.2818" "67.9" "0.182527" "7.47076" "0.0200827" "35.2115" "0.0946545" "280" "98773" "146109" "5538" "145570" "5651803" "149962"
"767" "756" "28.7003" "0.0379633" "107.725" "0.142494" "72.7867" "0.0962787" "881.1" "1.16548" "6.15754" "0.00814489" "6.52419" "0.00862988" "19981" "16098" "21146" "20466" "20415" "449953" "39188"
"131" "878" "0" "0" "0" "0" "0" "0" "420.9" "1.85419" "4.55249" "0.00518507" "15.3511" "0.0174841" "70334" "30112" "915265" "62749" "915038" "2210728" "1185732"
"46" "907" "0" "0" "0" "0" "0" "0" "370.6" "0.534006" "2.72858" "0.00300835" "0" "0" "23830" "22818" "56654" "50474" "56275" "22893" "60294"
"2950" "950" "0" "0" "309.761" "0.326065" "83.791" "0.088201" "235.6" "0.248" "8.46297" "0.00890838" "14.3916" "0.0151491" "2617" "255" "256193" "60707" "195495" "528360" "717294"
"2176" "237" "136.492" "0.575917" "154.78" "0.653081" "32.3787" "0.136619" "12297.4" "51.8878" "5.50093" "0.0232107" "31.0859" "0.131164" "0" "8503" "95804" "28779" "44562" "181824" "2735"
"2424" "606" "111.679" "0.184289" "134.23" "0.221502" "0" "0" "391.9" "0.6467" "8.48486" "0.0140014" "10.314" "0.0170198" "6040" "12212" "109368" "28728" "108012" "3945645" "86359"
"2351" "628" "204.539" "0.3257" "125.772" "0.200274" "72.7899" "0.115907" "807.2" "1.28535" "15.6273" "0.0248843" "28.8791" "0.0459859" "0" "3971" "1064716" "36769" "3145491" "4249082" "4656284"
"2567" "917" "368.634" "0.402" "184.521" "0.201223" "209.875" "0.228871" "848" "0.924755" "45.7147" "0.0498524" "19.6685" "0.0214488" "2471" "6446" "9318" "8414" "61757" "322165" "116935"
"602" "1155" "0" "0" "476.965" "0.412956" "0" "0" "137.6" "0.119134" "8.54323" "0.00739673" "22.0671" "0.0191057" "0" "591" "6170" "6170" "493041" "5922" "766067"
"3442" "979" "2741.11" "2.79991" "170.56" "0.174219" "291.445" "0.297696" "960.9" "1.42567" "68.2874" "0.0697522" "68.1203" "0.0695815" "405" "6135" "44969" "5628" "24393" "56837" "66058"
"1552" "640" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "618555" "298055" "398514" "285889" "575527" "430009" "3196929"
"3579" "997" "282.7" "0.28355" "205.549" "0.206167" "0" "0" "1159.3" "1.16279" "18.7936" "0.0188502" "16.8861" "0.016937" "8972" "23240" "137316" "62236" "598150" "5233901" "1197521"
"3873" "750" "87.4437" "0.116592" "161.451" "0.215268" "0" "0" "228.8" "0.305067" "4.81514" "0.00642018" "0" "0" "7913" "2285" "20362" "20336" "101472" "186302" "114760"
"1654" "734" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "20551" "192258" "21263" "120363" "2470125" "951284"
"1434" "772" "317.214" "0.410899" "118.892" "0.154006" "0" "0" "69" "0.0893782" "11.6147" "0.0150449" "15.351" "0.0198848" "5218" "3037" "83265" "3149" "531446" "1304371" "1399108"
"3216" "643" "184.031" "0.286206" "0" "0" "0" "0" "127.4" "0.198134" "7.94498" "0.0123561" "13.4322" "0.0208899" "21975" "4535" "245260" "25520" "640132" "1107086" "2098597"
"1561" "1595" "85.4862" "0.0535963" "257.818" "0.161641" "437.505" "0.274298" "215.9" "0.161844" "42.4973" "0.026644" "59.2455" "0.0371445" "38300" "56" "26799" "23004" "66998" "73012" "354488"
"3036" "402" "81.4947" "0.202723" "0" "0" "85.5181" "0.212732" "471.2" "1.17214" "9.38223" "0.0233389" "10.1221" "0.0251793" "13334" "5168" "73776" "34074" "73538" "384191" "44595"
"3101" "989" "137.919" "0.139453" "356.705" "0.360672" "13.7732" "0.0139264" "279.1" "0.282204" "11.1405" "0.0112644" "11.5613" "0.0116898" "31020" "26283" "667582" "667582" "671215" "701487" "747766"
"1762" "789" "74.8233" "0.0948331" "0" "0" "0" "0" "74.7" "0.113699" "1.8458" "0.00233942" "6.71608" "0.00851214" "0" "7746" "7778" "7778" "6204" "100375" "2788"
"243" "679" "261.127" "0.384576" "180.32" "0.265567" "50.5019" "0.0743768" "673" "0.991163" "12.1181" "0.017847" "7.24377" "0.0106683" "0" "1484" "90722" "26439" "106278" "598146" "134297"
"3330" "542" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "43587" "111422" "329816" "261910" "271946" "108642" "1446897"
"615" "414" "105.738" "0.255406" "164.468" "0.397265" "0" "0" "43.5" "0.105072" "4.72029" "0.0114017" "6.38028" "0.0154113" "41177" "13121" "19636" "19636" "19443" "587931" "243268"
"1095" "361" "0" "0" "0" "0" "0" "0" "219" "0.606648" "2.07197" "0.00573953" "3.69384" "0.0102323" "53015" "79348" "560223" "88877" "321456" "958251" "519029"
"1908" "749" "0" "0" "0" "0" "110.951" "0.148132" "0" "0" "0.116731" "0.000155849" "0" "0" "4911" "3607" "9005" "105140" "528074" "822967" "578603"
"3842" "680" "0" "0" "0" "0" "0" "0" "199.9" "0.293971" "7.90121" "0.0116194" "30.0305" "0.0441625" "264" "2535" "1485911" "48414" "1687844" "1750329" "1692055"
"2056" "881" "0" "0" "412.638" "0.468374" "130.722" "0.148379" "69.2" "0.0785471" "13.7815" "0.015643" "6.14042" "0.00696983" "0" "19612" "248186" "234806" "1309537" "2623255" "2298993"
"4108" "634" "73.2262" "0.115499" "86.8027" "0.136913" "6.92685" "0.0109256" "69" "0.108833" "5.50093" "0.00867654" "7.67552" "0.0121065" "8780" "12859" "9276" "9316" "263455" "275962" "508976"
"2875" "520" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "6687" "16268" "587724" "272388" "1842946" "6329477" "1845738"
"2760" "807" "0" "0" "475.599" "0.589342" "0" "0" "163.7" "0.20285" "8.20762" "0.0101705" "7.67552" "0.00951118" "17787" "1322" "116983" "22064" "212683" "563503" "498931"
"3132" "399" "15.8427" "0.0397059" "11.6282" "0.0291433" "0.7696" "0.00192882" "0" "0" "3.64053" "0.00912415" "4.4614" "0.0111814" "2106" "4742" "103047" "34053" "87267" "54864" "101083"
"1405" "855" "108.497" "0.126897" "1.64938" "0.0019291" "0" "0" "0" "0" "7.54372" "0.00882306" "36.5067" "0.0426979" "0" "258" "5691" "5711" "5805" "1168" "23109"
"2485" "1334" "284.138" "0.212997" "178.272" "0.133637" "187.464" "0.140528" "37.4" "0.0314286" "16.8968" "0.0126662" "38.1857" "0.028625" "2023" "40967" "565945" "565425" "1416481" "1971059" "1539518"
"3857" "533" "93.9111" "0.176193" "0" "0" "87.5807" "0.164316" "0" "0" "7.55101" "0.014167" "27.9197" "0.0523822" "12228" "6012" "800863" "234439" "627030" "1636729" "2062670"
"3236" "386" "0" "0" "0" "0" "1.1544" "0.00299067" "34.6" "0.311712" "0.415853" "0.00107734" "0" "0" "0" "2649" "814" "774" "371" "418438" "7153"
"3082" "923" "105.495" "0.114295" "242.207" "0.262413" "178.017" "0.192867" "1099.3" "1.43512" "9.55732" "0.0103546" "2.68643" "0.00291054" "2080" "44" "72990" "21191" "151222" "19016" "389497"
"848" "760" "832.114" "1.09489" "0" "0" "221.902" "0.291977" "45.5" "0.0598684" "12.855" "0.0169144" "18.3253" "0.0241123" "0" "22568" "930267" "114805" "192283" "1213756" "1255189"
"2023" "941" "1057.38" "1.12368" "118.892" "0.126347" "21.425" "0.0227684" "122.5" "0.130181" "10.0097" "0.0106373" "7.67552" "0.00815677" "12117" "0" "2336" "925" "270" "2256174" "2605836"
"2680" "425" "105.738" "0.248795" "171.404" "0.403303" "0" "0" "220.7" "0.519294" "1.69259" "0.00398257" "1.72699" "0.00406351" "20319" "12725" "1242299" "14639" "1750564" "2257128" "2663547"
"1110" "507" "0" "0" "93.0913" "0.183612" "102.76" "0.202682" "1043.3" "2.05779" "4.52331" "0.00892172" "14.3916" "0.0283858" "8301" "4191" "955600" "20351" "1402589" "2039384" "1600162"
"2917" "869" "0" "0" "0" "0" "0" "0" "128.7" "0.245611" "2.88179" "0.00331621" "3.54993" "0.00408507" "14289" "0" "1403651" "492722" "1403206" "2365283" "1814322"
"61" "866" "4.401" "0.00508199" "350.679" "0.404942" "41.2541" "0.0476375" "154.7" "0.178637" "0" "0" "0" "0" "24145" "1948" "26045" "26045" "224722" "503125" "738742"
"2387" "594" "83.0277" "0.139777" "163.638" "0.275484" "0" "0" "69.6" "0.117172" "0.977619" "0.00164582" "6.71608" "0.0113065" "5617" "9398" "163083" "28905" "224042" "1130814" "448911"
"2377" "685" "182.168" "0.265939" "555.184" "0.810488" "0" "0" "0" "0" "12.3151" "0.0179782" "31.1338" "0.0454509" "891" "331" "677992" "1379" "814093" "1410960" "1351471"
"3740" "433" "105.738" "0.244198" "130.782" "0.302036" "59.684" "0.137838" "140.4" "0.324249" "5.34772" "0.0123504" "3.07021" "0.00709055" "1706" "4933" "107447" "4008" "96030" "102267" "113688"
"3288" "841" "772.498" "0.918547" "284.032" "0.337731" "181.229" "0.215492" "496.6" "0.590488" "6.3983" "0.00760797" "7.67552" "0.00912666" "1059971" "916471" "396504" "396504" "781678" "4311601" "4339386"
"1360" "833" "0" "0" "464.655" "0.55781" "0" "0" "280.2" "0.336375" "6.85792" "0.0082328" "20.4361" "0.0245331" "14924" "12100" "60010" "5013" "172372" "29255" "166871"
"3872" "877" "0" "0" "308.136" "0.351352" "0" "0" "0" "0" "4.15853" "0.00474176" "6.71608" "0.00765802" "0" "9767" "1035816" "18807" "1279929" "2685159" "1740658"
"2443" "530" "177.64" "0.335169" "28.3693" "0.053527" "7.08032" "0.0133591" "52.2" "0.0984906" "6.65364" "0.012554" "10.0741" "0.0190078" "0" "3967" "35376" "35396" "203330" "1680772" "345724"
"3467" "1167" "0" "0" "0" "0" "32.9027" "0.0281943" "0" "0" "1.16731" "0.00100026" "0" "0" "1134284" "3499" "1268762" "1134517" "3276" "1383318" "3836"
"1900" "1198" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "2427" "6477" "6952" "6947" "13523" "1755308" "0"
"2476" "1014" "163.664" "0.161404" "75.3057" "0.0742659" "20.6599" "0.0203746" "74.2" "0.0731755" "8.71102" "0.00859075" "6.71608" "0.00662335" "0" "4660" "5406" "5393" "4810" "608329" "38563"
"202" "579" "0" "0" "212.482" "0.366981" "0" "0" "247.8" "0.427979" "7.18623" "0.0124114" "7.67552" "0.0132565" "26494" "2490" "2855" "2868" "7963" "146579" "83816"
"2192" "561" "105.738" "0.188481" "18.8246" "0.0335555" "1.53036" "0.00272791" "0" "0" "1.38618" "0.0024709" "6.71608" "0.0119716" "0" "893" "512233" "206244" "345268" "2155288" "808985"
"3695" "375" "0" "0" "330.163" "0.880434" "0" "0" "778.8" "2.0768" "17.0208" "0.0453888" "18.949" "0.0505305" "0" "12923" "17601" "0" "536670" "1636327" "1789076"
"3376" "664" "91.13" "0.137244" "103.038" "0.155178" "95.353" "0.143604" "48.5" "0.0730422" "2.48053" "0.00373573" "11.2255" "0.0169058" "545186" "72059" "138607" "41294" "41057" "1363391" "1319833"
"4045" "385" "194.663" "0.505617" "0" "0" "0" "0" "78.6" "0.204156" "5.41338" "0.0140607" "14.3916" "0.0373808" "2147" "3106" "22140" "1580" "23508" "1457005" "5640"
"4000" "829" "0" "0" "0" "0" "0" "0" "391.8" "0.472618" "9.21443" "0.0111151" "32.9568" "0.0397549" "13213" "3331" "899371" "53379" "1049315" "1504346" "972094"
"3454" "308" "0" "0" "0" "0" "93.052" "0.302117" "141" "0.457792" "9.22902" "0.0299643" "0" "0" "571519" "7769" "28374" "19253" "83071" "71394" "7993"
"44" "652" "1007.49" "1.54523" "0" "0" "0" "0" "323.1" "0.495552" "9.68864" "0.0148599" "7.67552" "0.0117723" "0" "196" "8217" "7537" "7472" "204859" "22378"
"3198" "1176" "42.1774" "0.0358651" "237.785" "0.202198" "1.84716" "0.00157071" "191.9" "0.16318" "9.28008" "0.00789123" "26.6724" "0.0226807" "0" "3731" "5287" "5307" "71725" "467926" "7979"
"2119" "857" "22.067" "0.0257492" "0" "0" "0" "0" "105.8" "0.123454" "10.8414" "0.0126504" "44.0383" "0.0513866" "8595" "1697" "738936" "86881" "826713" "1288211" "946419"
"1040" "481" "0" "0" "0" "0" "0" "0" "114.4" "1.3619" "0" "0" "6.71608" "0.0139627" "128233" "12321" "34841" "12541" "34380" "148202" "39432"
"533" "845" "317.214" "0.375401" "350.23" "0.414473" "0" "0" "289" "0.342012" "3.56028" "0.00421335" "0" "0" "7380" "439" "3524" "3504" "2197" "69739" "0"
"2628" "1138" "135.665" "0.119213" "117.036" "0.102843" "36.4814" "0.0320575" "172.8" "0.151845" "16.5028" "0.0145016" "36.1709" "0.0317846" "1212" "744" "28642" "4422" "16858" "34080" "59083"
"3933" "1063" "694.628" "0.65346" "491.676" "0.462536" "187.59" "0.176472" "955.8" "0.899153" "10.5568" "0.00993116" "7.67552" "0.00722062" "4844" "7206" "22644" "41827" "582416" "1012095" "546170"
"1758" "921" "318.349" "0.345656" "107.003" "0.116181" "0" "0" "264.7" "0.287405" "5.66873" "0.00615497" "17.4618" "0.0189596" "18578" "13613" "9779" "818" "31684" "298217" "3086"
"1852" "1387" "839.315" "0.60513" "206.848" "0.149133" "173.893" "0.125373" "689.4" "0.497044" "38.3314" "0.0276362" "47.8281" "0.0344831" "850832" "315" "4343831" "1756" "1087452" "21129792" "4690311"
"3928" "1032" "45.973" "0.0445475" "173.394" "0.168017" "0" "0" "227.4" "0.220349" "3.38518" "0.00328022" "29.215" "0.0283091" "2742" "7275" "151592" "20748" "151072" "48868" "749085"
"1768" "1131" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1677" "13744" "13636" "25610" "9269" "187191"
"997" "493" "105.738" "0.214478" "19.8154" "0.0401935" "0" "0" "285.9" "0.579919" "5.14344" "0.0104329" "14.3916" "0.0291919" "16104" "4258" "1483" "1503" "216091" "7917" "433346"
"1909" "1688" "0" "0" "118.892" "0.0704339" "0" "0" "0" "0" "79.3769" "0.0470242" "37.4182" "0.0221672" "0" "2144" "551271" "89518" "650113" "651766" "848506"
"521" "600" "105.738" "0.17623" "21.7976" "0.0363294" "0" "0" "59.5" "0.0991667" "10.7903" "0.0179838" "23.1225" "0.0385375" "9009" "14473" "1017265" "35249" "1544928" "1361015" "1533663"
"4005" "770" "94.0001" "0.122078" "192.03" "0.249389" "109.163" "0.141771" "535.2" "0.695065" "7.60938" "0.00988231" "18.3733" "0.0238614" "4116" "5910" "39188" "24991" "315134" "112717" "566216"
"2243" "837" "93.4063" "0.111597" "145.18" "0.173453" "101.035" "0.120711" "185.5" "0.221625" "7.2446" "0.00865543" "26.8643" "0.032096" "0" "62696" "376878" "251076" "376541" "280534" "379218"
"129" "531" "0" "0" "0" "0" "0" "0" "131.6" "0.468327" "21.887" "0.0412184" "34.5398" "0.0650468" "51022" "10800" "934924" "82408" "934697" "2230387" "1205391"
"938" "930" "93.5033" "0.100541" "374.354" "0.402532" "108.484" "0.11665" "368" "0.395699" "8.56511" "0.00920979" "14.2477" "0.0153201" "7012" "1603" "693394" "36538" "273944" "2491668" "2907525"
"3859" "786" "66.2855" "0.0843326" "93.1119" "0.118463" "0" "0" "365" "0.477124" "5.25288" "0.00668305" "3.5979" "0.00457748" "6125" "12898" "24150" "24150" "62140" "41328" "33420"
"121" "687" "0" "0" "0" "0" "0" "0" "9" "0.130435" "0" "0" "0" "0" "163913" "10894" "1192851" "53340" "1192624" "2488314" "1463318"
"3806" "495" "226.835" "0.458252" "95.8088" "0.193553" "0" "0" "131.3" "0.265253" "9.55732" "0.0193077" "7.67552" "0.0155061" "10951" "40062" "15148" "15141" "585826" "104261" "590473"
"1823" "631" "260.208" "0.412374" "230.324" "0.365014" "81.9157" "0.129819" "31.8" "0.0503962" "2.91097" "0.00461326" "18.3733" "0.0291177" "0" "183537" "5301495" "128878" "129521" "22087456" "5647975"
"750" "614" "29.4227" "0.0479197" "189.237" "0.308204" "0" "0" "13.9" "0.0226384" "5.34773" "0.00870965" "1.00741" "0.00164074" "10732" "163373" "1084704" "186384" "1084744" "1647309" "1163072"
"3814" "745" "0" "0" "0" "0" "0" "0" "1187.1" "1.59342" "1.16731" "0.00156685" "1.67902" "0.00225372" "0" "0" "632519" "47701" "631008" "632236" "673669"
"2459" "650" "104.991" "0.161525" "188.544" "0.290068" "39.2521" "0.0603879" "744.9" "1.146" "3.84481" "0.00591509" "0" "0" "15051" "1040" "44878" "10761" "22355" "4212640" "49323"
"3038" "576" "0" "0" "0" "0" "0" "0" "220" "0.381944" "3.35601" "0.0058264" "13.624" "0.0236529" "0" "5621" "252028" "16075" "295057" "1282827" "268168"
"1770" "6470" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "5619" "6086" "16621" "16601" "43415" "9839" "61911"
"3668" "386" "95.6238" "0.24773" "0" "0" "0" "0" "0" "0" "1.52479" "0.00395024" "23.0266" "0.0596543" "39564" "2478" "34882" "34248" "36164" "38761" "304849"
"1633" "468" "0" "0" "0" "0" "0" "0" "397.3" "0.848932" "12.4391" "0.0265793" "0" "0" "24393" "2300" "37224" "20752" "59968" "166384" "592258"
"237" "579" "213.287" "0.368371" "116.413" "0.201058" "24.4749" "0.0422709" "45.1" "0.0778929" "6.03351" "0.0104206" "7.29174" "0.0125937" "0" "4415" "314249" "2989" "641052" "2160062" "1529392"
"22" "570" "218.349" "0.383069" "384.078" "0.673821" "201.868" "0.354154" "273.7" "0.480175" "7.86473" "0.0137978" "2.20671" "0.00387142" "0" "697" "4875" "3327" "5304" "82050" "30455"
"1925" "636" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "10106" "4589" "8696" "9016" "8888" "436012" "143689"
"1231" "602" "117.484" "0.195157" "74.6527" "0.124008" "90.6545" "0.150589" "69.4" "0.115282" "5.8949" "0.00979218" "8.49104" "0.0141047" "15057" "758" "831085" "100659" "886388" "519405" "966275"
"810" "469" "88.0084" "0.187651" "176.14" "0.375564" "0" "0" "436" "0.929638" "10.4839" "0.0223537" "7.14783" "0.0152406" "12122" "10125" "204277" "25362" "259140" "465418" "524674"
"230" "831" "0" "0" "0" "0" "34.1712" "0.0411206" "108" "0.129964" "5.77816" "0.00695326" "14.7754" "0.0177802" "1701" "328" "652544" "228837" "720302" "807201" "1169565"
"1889" "1117" "0" "0" "0" "0" "0" "0" "69.5" "0.0686759" "2.97663" "0.00266484" "0" "0" "3839" "4583" "1557808" "25758" "1030745" "7415309" "1972488"
"3324" "474" "0" "0" "0" "0" "0" "0" "0" "0" "1.16731" "0.00246267" "7.67552" "0.0161931" "159611" "3683" "300069" "145056" "155092" "6591" "1562921"
"2909" "700" "11.0335" "0.0157622" "0" "0" "42.0849" "0.0601213" "561.9" "0.802714" "2.14493" "0.00306418" "6.71608" "0.0095944" "3359" "23147" "1651664" "740735" "1651219" "2613296" "2062335"
"3042" "401" "0" "0" "0" "0" "0" "0" "0" "0" "0.372079" "0.000927878" "2.44657" "0.00610118" "1064" "14126" "36830" "36922" "38821" "1560795" "259961"
"2904" "464" "0" "0" "0" "0" "12.2429" "0.0263855" "1417.3" "3.05453" "1.90417" "0.00410381" "0" "0" "53484" "163995" "1792512" "881583" "1792067" "2754144" "2203183"
"1440" "557" "252.852" "0.453954" "178.349" "0.320196" "0" "0" "136.7" "0.245422" "8.587" "0.0154165" "7.67552" "0.0137801" "595" "1007" "10033" "10013" "16279" "21714" "89895"
"2425" "941" "178.226" "0.189401" "105.998" "0.112644" "229.202" "0.243573" "864.3" "0.918491" "2.21059" "0.00234919" "21.1077" "0.0224311" "0" "626" "124414" "0" "123058" "3960691" "101405"
"3852" "347" "0" "0" "0" "0" "0" "0" "441.4" "1.27205" "7.49265" "0.0215927" "0" "0" "37887" "31816" "955579" "21204" "716812" "1353607" "914385"
"346" "745" "99.0269" "0.132922" "327.417" "0.439486" "16.834" "0.0225959" "0" "0" "10.068" "0.0135141" "12.3288" "0.0165487" "4803" "16311" "24754" "22974" "23241" "59538" "97356"
"1378" "458" "108.269" "0.236396" "100.986" "0.220493" "25.1792" "0.0549764" "413.5" "0.902838" "10.8851" "0.0237667" "10.9376" "0.0238813" "3411310" "43086" "481547" "481567" "479519" "1996536" "463319"
"916" "523" "84.5903" "0.161741" "379.467" "0.725558" "0" "0" "262.2" "0.501338" "9.52813" "0.0182182" "0" "0" "0" "6929" "50309" "38967" "213664" "128982" "205265"
"2552" "615" "209.633" "0.340866" "0" "0" "100.951" "0.164148" "626.4" "1.01854" "16.7436" "0.0272253" "9.45048" "0.0153666" "1063" "2386" "7564" "6171" "93769" "87469" "1977498"
"1073" "1250" "245.496" "0.196397" "118.892" "0.0951139" "174.461" "0.139569" "73.5" "0.0723425" "7.53642" "0.00602914" "7.67552" "0.00614042" "57651" "36875" "47857" "47877" "215741" "56397" "277483"
"3541" "731" "0" "0" "113.741" "0.155597" "51.9788" "0.0711065" "0" "0" "5.11426" "0.00699625" "0" "0" "16198" "1249" "1259" "1239" "917" "31998" "89495"
"1850" "574" "24.4059" "0.0425191" "0" "0" "105.944" "0.184571" "214.8" "0.374216" "4.24607" "0.00739734" "27.5359" "0.047972" "827845" "8655" "4366143" "24068" "1064465" "21152104" "4712623"
"210" "925" "290" "0.313513" "24.7692" "0.0267776" "58.8811" "0.0636553" "198.7" "0.300151" "2.87449" "0.00310756" "12.8085" "0.0138471" "2903" "3332" "24484" "5176" "23894" "718971" "33210"
"878" "719" "0" "0" "118.892" "0.165358" "104.83" "0.145799" "153.3" "0.213213" "8.06901" "0.0112225" "1.77496" "0.00246866" "13881" "70799" "623754" "612140" "1050800" "1294226" "1035087"
"494" "972" "195.442" "0.201072" "297.164" "0.305725" "0" "0" "0" "0" "11.8409" "0.012182" "23.0745" "0.0237392" "0" "4696" "11962" "5645" "8073" "15151" "19319"
"1364" "479" "134.054" "0.279861" "0" "0" "73.2504" "0.152924" "78.6" "0.164092" "6.08458" "0.0127027" "7.67552" "0.0160241" "0" "1110" "1788" "1768" "1164" "159872" "24915"
"3123" "1259" "179.295" "0.14241" "269.511" "0.214067" "0" "0" "448.9" "0.406981" "19.9828" "0.015872" "33.1007" "0.0262913" "6521" "30964" "89403" "89269" "630002" "95449" "831330"
"2732" "1024" "0" "0" "118.892" "0.116106" "0" "0" "0" "0" "2.78694" "0.00272162" "6.28433" "0.00613704" "0" "3084" "904404" "19342" "1473281" "1567489" "1892920"
"1545" "1026" "308.02" "0.300214" "0" "0" "78.8135" "0.0768163" "194.5" "0.189571" "6.09917" "0.00594461" "0" "0" "277410" "41684" "57369" "21043" "234382" "88864" "2855784"
